Country,Active Cases
Andorra,52
Croatia,806
Cyprus,189
Denmark,543
Estonia,42
Finland,149
Georgia,199
Greenland,1
Holy See,0
Hungary,523
Iceland,21
Ireland,764
Latvia,143
Liechtenstein,4
Lithuania,319
Malta,27
Monaco,8
Norway,125
San Marino,0
Slovakia,537
Slovenia,238
Country,Active Cases
Brunei,0
Cambodia,79
Fiji,9
Laos,1
Malaysia,179
Mongolia,67
New Zealand,21
Papua New Guinea,51
South Korea,896
Taiwan*,15
Vietnam,66
